Anglican,Nonconformist
consonantal,vocalic
conspicuous,inconspicuous
conspicuously,inconspicuously
conspicuousness,inconspicuousness
constancy,inconstancy
constant,inconstant
constipated,unconstipated
constitutional,unconstitutional
constitutionally,unconstitutionally
constricted,unconstricted
construction,misconstruction
constructive,destructive
constructiveness,destructiveness
consume,abstain
consummated,unconsummated
consumptive,generative
contaminate,decontaminate
contaminated,uncontaminated
contamination,decontamination
contemptible,estimable
content,discontent
contented,discontented
contentment,discontentment
contestable,incontestable
contested,uncontested
continent,incontinent
continental,intercontinental
continual,sporadic
continuance,discontinuance
continuance,discontinuation
continue,discontinue
continue,discontinue
continued,discontinued
continuity,discontinuity
continuous,discontinuous
continuous,discontinuous
contracted,expanded
contraction,expansion
contraindicate,indicate
contraindicate,indicate
contraindication,indication
contralateral,ipsilateral
contrasty,flat
controlled,uncontrolled
controversial,uncontroversial
controversially,uncontroversially
convenience,inconvenience
convenient,inconvenient
conventional,nuclear
conventional,unconventional
conventional,unconventional
conventional,unconventional
conventionality,unconventionality
conventionality,unconventionality
conventionally,unconventionally
converge,diverge
converge,diverge
converge,diverge
converge,diverge
convergence,divergence
convergence,divergency
convergent,divergent
convertibility,inconvertibility
convertible,inconvertible
convex,concave
convexly,concavely
convict,acquit
conviction,acquittal
convinced,unconvinced
convincing,unconvincing
convincingly,unconvincingly
cooked,raw
cool,heat
cool,heat
cool,warm
cool,warm
cool,warm
cooperation,competition
cooperative,uncooperative
coordinating,subordinating
coordination,incoordination
cork,uncork
corporeal,incorporeal
correct,falsify
correct,incorrect
correct,wrong
corrected,uncorrected
correctly,incorrectly
correctly,wrongly
correctness,incorrectness
correctness,incorrectness
correctness,wrongness
corrigible,incorrigible
corrupt,incorrupt
corruptibility,incorruptibility
corruptness,incorruptness
cortex,medulla
cosmopolitan,endemic
cosmopolitan,provincial
costive,laxative
counterclockwise,clockwise
counterclockwise,clockwise
counterfactuality,factuality
counterfeit,genuine
counterrevolutionary,revolutionary
couple,uncouple
courage,cowardice
courteous,discourteous
courtesy,discourtesy
cousinly,uncousinly
cover,uncover
covered,bare
covert,overt
covertly,overtly
cowardice,courage
cowardly,brave
crannied,uncrannied
crate,uncrate
creative,uncreative
creativity,uncreativeness
credibility,incredibility
credible,incredible
credibly,incredibly
credit,cash
credit,debit
credit,debit
creditor,debtor
credulous,incredulous
credulously,incredulously
credulously,unbelievingly
crescendo,decrescendo
criminalization,decriminalisation
criminalization,decriminalization
critical,noncritical
critical,noncritical
critical,uncritical
critical,uncritical
critically,uncritically
crooked,straight
crooked,straight
crookedness,straightness
cross,uncross
cross-eyed,walleyed
cross-fertilization,self-fertilization
cross-pollination,self-pollination
crossbred,purebred
crossed,uncrossed
crossed,uncrossed
crosswise,lengthwise
crowded,uncrowded
crowned,uncrowned
crowned,uncrowned
crucial,noncrucial
cry,laugh
crystalline,noncrystalline
crystallized,uncrystallized
cubic,linear
cubic,planar
cultivated,uncultivated
curability,incurability
curability,incurableness
curable,incurable
curdle,homogenise
curdle,homogenise
curdle,homogenize
curious,incurious
curliness,straightness
curly,straight
current,noncurrent
curse,bless
cursed,blessed
cursorial,fossorial
curtained,curtainless
curtainless,curtained
curved,straight
custom-made,ready-made
custom-made,ready-made
cut,uncut
cut,uncut
cut,uncut
cyclic,acyclic
cyclic,acyclic
cyclic,noncyclic
cyclone,anticyclone
damaged,undamaged
danger,safety
dangerous,safe
dangerousness,safeness
dark,light
dark,light
dark,light
darken,brighten
darken,lighten
darkness,lightness
datable,undatable
daughter,boy
daughter,son
dawn,sunset
day,night
de-energize,energise
de-energize,energize
de-escalate,escalate
de-iodinate,iodinate
de-iodinating,iodinating
de-ionate,ionate
deactivation,activation
dead,alive
dead,live
dead,living
deaden,enliven
deaf,hearing
death,birth
death,birth
debarkation,embarkation
debilitating,invigorating
debit,credit
debit,credit
debtor,creditor
decalcify,calcify
deceive,undeceive
decelerate,accelerate
decelerate,accelerate
deceleration,acceleration
deceleration,acceleration
deceleration,acceleration
decency,indecency
decent,indecent
decently,indecently
decentralization,centralization
decentralize,centralise
decentralize,centralize
decentralize,concentrate
decentralized,centralized
decentralizing,centralizing
decertify,certify
deciduous,evergreen
deciphered,undeciphered
decisive,indecisive
decisive,indecisive
decisively,indecisively
decisively,indecisively
decisiveness,indecision
decisiveness,indecisiveness
declarative,interrogative
declarative,interrogatory
declared,undeclared
declassification,classification
declassify,classify
decline,improvement
decode,encode
decolonize,colonise
decolonize,colonize
decompress,compress
decompression,compression
decompression,compression
decontaminate,contaminate
decontamination,contamination
decorous,indecorous
decorously,indecorously
decorum,indecorousness
decorum,indecorum
decouple,associate
decrease,increase
decrease,increase
decrease,increase
decrease,increase
decrease,increase
decrease,increase
decrease,increment
decreased,increased
decreasing,increasing
decreasing,increasing
decrescendo,crescendo
decriminalization,criminalisation
decriminalization,criminalization
dedicated,undedicated
dedifferentiate,differentiate
deductible,nondeductible
deductive,inductive
deep,shallow
deep,shallow
deepness,shallowness
defeasible,indefeasible
defeat,victory
defeated,undefeated
defend,attack
defend,prosecute
defendant,plaintiff
defense,offence
defense,offense
defense,prosecution
defense,prosecution
defensive,offensive
defensively,offensively
defiant,compliant
deficit,lead
defined,undefined
definite,indefinite
deflate,inflate
deflate,inflate
deflate,inflate
deflation,disinflation
deflation,inflation
deflation,inflation
deflationary,inflationary
defuse,fuse
degeneration,evolution
deglycerolize,glycerolize
degrade,aggrade
dehiscent,indehiscent
dehumanize,humanize
dehumidify,humidify
dehydrogenate,hydrogenate
dejected,elated
delay,rush
delicate,rugged
delineated,undelineated
demagnetize,magnetise
demagnetize,magnetize
demand,supply
demanding,undemanding
dematerialize,materialise
dematerialize,materialize
demerit,merit
demilitarize,militarise
demilitarize,militarize
demobilization,mobilization
demobilize,mobilise
demobilize,mobilize
demobilize,mobilize
democratic,undemocratic
democratically,undemocratically
demonetization,monetization
demonstrative,undemonstrative
demote,promote
demotion,promotion
demulsify,emulsify
demulsify,emulsify
demystify,mystify
demythologize,mythologize
denationalization,nationalization
denationalize,nationalise
denationalize,nationalize
denaturalize,naturalize
denaturalize,naturalize
denazify,nazify
deniable,undeniable
denitrify,nitrify
denotative,connotative
densely,thinly
deny,admit
deny,allow
deodorize,odorize
deodorize,odourise
deoxidize,oxidise
deoxidize,oxidize
depart,stay
dependability,undependability
dependability,undependableness
dependability,unreliability
dependability,unreliableness
dependent,independent
dependent,independent
depersonalize,personalise
depersonalize,personalize
depigmentation,pigmentation
deposit,withdraw
depreciate,appreciate
depreciate,appreciate
depreciation,appreciation
depress,elate
depressant,stimulative
depressing,cheerful
depression,elation
depressurize,pressurise
depressurize,pressurize
deprive,enrich
deregulate,regulate
derequisition,requisition
derestrict,restrict
derivational,inflectional
derived,underived
desalinate,salinate
descend,ascend
descend,rise
descendant,ancestor
descending,ascending
descent,ascent
descriptive,prescriptive
descriptive,undescriptive
desecrate,consecrate
desecrated,consecrated
desegregate,segregate
desensitize,sensitise
desensitize,sensitize
desensitize,sensitize
desensitizing,sensitizing
deservedly,undeservedly
designed,undesigned
desirability,undesirability
desirable,undesirable
desirous,undesirous
despair,hope
despair,hope
destabilization,stabilisation
destabilization,stabilization
destabilize,stabilise
destabilize,stabilize
destabilize,stabilize
destabilize,stabilize
