9/11,9-11
Aristotelian,peripatetic
Aristotelianism,peripateticism
Arizona,AZ
Arizonan,Arizonian
Arkansan,Arkansawyer
Arkansas,AR
Armenia,Hayastan
Arminius,Armin
Arminius,Hermann
Armstrong,Satchmo
Artemia,Chirocephalus
Artemis,Cynthia
Aryan,Indo-European
Asarh,Asadha
Ascomycota,Ascomycotina
Ashur,Ashir
Ashurbanipal,Assurbanipal
Ashurbanipal,Asurbanipal
Asian,Asiatic
Asian,Asiatic
Asin,Asvina
Asmara,Asmera
Assamese,Asamiya
Assur,Ashur
Assur,Asur
Astacidae,Astacura
Astana,Akmola
Astarte,Ashtoreth
Aswan,Assouan
Aswan,Assuan
Atakapa,Atakapan
Atakapa,Attacapa
Atakapa,Attacapan
Atakapa,Attacapan
Aten,Aton
Athapaskan,Athabascan
Athapaskan,Athabascan
Athapaskan,Athabaskan
Athapaskan,Athabaskan
Athapaskan,Athapascan
Athapaskan,Athapascan
Athena,Athene
Athena,Pallas
Athens,Athinai
Attic,Ionic
August,Aug
Augustus,Octavian
Auriga,Charioteer
Australian,Aussie
Austria,Oesterreich
Austro-Asiatic,Munda-Mon-Khmer
Avalokitesvara,Avalokiteshvara
Averroes,ibn-Roshd
Avesta,Zend-Avesta
Avestan,Zend
Avicenna,ibn-Sina
Azerbaijan,Azerbajdzhan
Azores,Acores
B,b
BC,B.C.
BCE,B.C.E.
BVD,BVD's
Babylonia,Chaldaea
Babylonia,Chaldea
Bacillariophyceae,Diatomophyceae
Baghdad,Bagdad
Bahrain,Bahrein
Bahrain,Bahrein
Bahraini,Bahreini
Bai,Baic
Baikal,Baykal
Baisakh,Vaisakha
Balaton,Plattensee
Balder,Baldr
Balkanize,Balkanise
Balmoral,bluebonnet
Balochi,Baluchi
Balthazar,Balthasar
Balto-Slavic,Balto-Slavonic
Basel,Bale
Basel,Basle
Basidiomycota,Basidiomycotina
Basilicata,Lucania
Basra,Basia
Basse-Normandie,Lower-Normandy
Bassia,Kochia
Bataan,Corregidor
Bayrut,Beirut
Bede,Baeda
Bede,Beda
Bedlam,madhouse
Bedlam,nuthouse
Bedlam,sanatorium
Bedouin,Beduin
Beijing,Peiping
Beijing,Peking
Bel,B
Belarus,Belorussia
Belarus,Byelarus
Belarus,Byelorussia
Belarusian,Byelorussian
Belem,Para
Belgium,Belgique
Belgrade,Beograd
Bellarmine,Bellarmino
Bengali,Bangla
Benin,Dahomey
Benzedrine,bennie
Berbers,Arab-Berbers
Bering,Behring
Berith,Berit
Berith,Bris
Berith,Briss
Berith,Brith
Bermuda,Bermudas
Bermudan,Bermudian
Bern,Berne
Berra,Yogi
Bethlehem,Bethlehem-Judah
Bhadon,Bhadrapada
Bhagavad-Gita,Bhagavadgita
Bhagavad-Gita,Gita
Bhutanese,Bhutani
Bible,Book
Bible,Scripture
Bible,Word
Bigfoot,Sasquatch
Birmingham,Brummagem
Bishkek,Biskek
Bishkek,Frunze
Bivalvia,Lamellibranchia
Black,Negro
Black,Negroid
Black,blackamoor
Blattodea,Blattaria
Bodhisattva,Boddhisatva
Bodo-Garo,Barish
Boehme,Behmen
Boehme,Boehm
Boehme,Bohme
Boehmenism,Behmenism
Bokmal,Bokmaal
Bokmal,Dano-Norwegian
Bole,Bolanci
Bolshevik,Bolshevist
Bolshevik,Bolshevist
Bolshevik,Bolshevistic
Bolshevik,Marxist
Bolshevik,bolshie
Bolshevik,bolshy
Bolshevik,red
Bolshevism,collectivism
Bolshevism,sovietism
Boniface,Winfred
Boniface,Wynfrith
Borneo,Kalimantan
Boston,Beantown
Bourgogne,Burgundy
Bouyei,Buyi
Bragi,Brage
Brahman,Brahma
Brahman,Brahmin
Brahmanism,Brahminism
Brahmanism,Brahminism
Bratislava,Pozsony
Bratislava,Pressburg
Braunschweig,Brunswick
Brazil,Brasil
Bretagne,Breiz
Bretagne,Brittany
Bridget,Bride
Bridget,Brigid
British,Brits
Britisher,Brit
Britisher,Briton
Brno,Brunn
Browne,Phiz
Brueghel,Breughel
Brueghel,Bruegel
Brummie,Brummy
Brunhild,Brunnhilde
Brunhild,Brynhild
Bruxelles,Brussels
Bryopsida,Musci
Bryozoa,polyzoa
Brythonic,Brittanic
Bucharest,Bucharesti
Bucharest,Bucuresti
Buddha,Gautama
Buddha,Siddhartha
Buddhist,Buddhistic
Bujumbura,Usumbura
Bura,Pabir
Burk,Burke
Bursa,Brusa
Burundi,Burundian
Bush,Dubya
Bush,Dubyuh
Bydgoszcz,Bromberg
Byelorussian,Belorussian
Byzantine,convoluted
Byzantine,involved
Byzantine,knotty
Byzantine,tangled
Byzantine,tortuous
C,c
C.O.D.,COD
CD-R,CD-WO
CE,C.E.
Cabalist,Kabbalist
Caddo,Caddoan
Caeciliidae,Caeciliadae
Caesarian,Caesarean
California,CA
California,Calif.
Caligula,Gaius
Calliophis,Callophis
Calorie,kilocalorie
Calvary,Golgotha
Calvinist,Calvinistic
Calvinist,Calvinistical
Calvinist,Genevan
Camassia,Quamassia
Cambodia,Kampuchea
Cambodian,Kampuchean
Cambodian,Kampuchean
Cameroon,Cameroun
Campylorhynchus,Heleodytes
Cananga,Canangium
Cancer,Crab
Cancer,Crab
Canute,Cnut
Canute,Knut
Capital,Washington
Capone,Scarface
Capricorn,Goat
Capricorn,Goat
Capricornus,Capricorn
Carcharias,Odontaspis
Carchariidae,Odontaspididae
Carolina,Carolinas
Caroline,Carolean
Carolingian,Carlovingian
Carroll,Dodgson
Carthaginian,Punic
Caryophyllales,Chenopodiales
Caryophyllales,order-Chenopodiales
Caspar,Gaspar
Castile,Castilla
Castilleja,Castilleia
Caterpillar,cat
Catholicism,Catholicity
Caucasia,Caucasus
Caucasian,Caucasic
Caucasian,Caucasoid
Cavalier,Royalist
Cebuan,Cebuano
Celebes,Sulawesi
Celt,Kelt
Celtic,Gaelic
Centaurus,Centaur
Cerberus,hellhound
Ceylonite,pleonaste
Chad,Chadic
Chad,Tchad
Chagatai,Jagatai
Chagatai,Jaghatai
Chait,Caitra
Chalcedon,Kadikoy
Chalcididae,Chalcidae
Chaldea,Chaldaea
Chaldean,Chaldaean
Chaldean,Chaldaean
Chaldean,Chaldaean
Chaldean,Chaldee
Chaldean,Chaldee
Chaldean,Chaldee
Chalons,Chalons-sur-Marne
Chamaeleon,Chameleon
Chamaeleontidae,Chamaeleonidae
Chamaeleontidae,Rhiptoglossa
Champagne,Champagne-Ardenne
Charlemagne,Carolus
Charlemagne,Charles
Chechnya,Chechenia
Chekhov,Chekov
Chelonethida,Pseudoscorpiones
Chelonethida,Pseudoscorpionida
Chelonia,Testudinata
Chelonia,Testudines
Cheloniidae,Chelonidae
Chemnitz,Karl-Marx-Stadt
Chennai,Madras
Cheops,Khufu
Cheremis,Cheremiss
Cheremis,Cheremiss
Cheremis,Mari
Cheremis,Mari
Chewa,Cewa
Chewa,Chichewa
Chimera,Chimaera
China,Cathay
China,PRC
Chinookan,Chinook
Chios,Khios
Chipewyan,Chippewaian
Chipewyan,Chippewyan
Choctaw,Chahta
Chongqing,Chungking
Christendom,Christianity
Christianization,Christianisation
Christianize,Christianise
Christmas,Christmastide
Christmas,Christmastime
Christmas,Noel
Christmas,Xmas
Christmas,Yule
Christmas,Yuletide
Chrysophyceae,Heterokontae
Cicero,Tully
Ciliata,Ciliophora
Citellus,Spermophilus
Clichy,Clichy-la-Garenne
Clotho,Klotho
Cnidaria,Coelenterata
Cocopa,Cocopah
Cocopa,Cocopah
Coerebidae,Dacninae
Coleridgian,Coleridgean
Cologne,Koln
Colon,Aspinwall
Colorado,CO
Columba,Dove
Communion,manduction
Compositae,Asteraceae
Conakry,Konakri
Confederacy,Dixie
Confederacy,Dixieland
Confederacy,South
Confucian,Confucianist
Confucius,Kongfuze
Congo,Zaire
Congregational,Congregationalist
Coniferopsida,Coniferophyta
Coniferopsida,Coniferophytina
Connecticut,CT
Conodonta,Conodontophorida
Constance,Bodensee
Copenhagen,Kobenhavn
Cordoba,Cordova
Cordoba,Cordova
Cordoba,Cordova
Corinth,Korinthos
Corse,Corsica
Corse,Corsica
Cortes,Cortez
Corvus,Crow
Corydalus,Corydalis
Coumarouna,Dipteryx
Cracow,Krakau
Cracow,Krakow
Crete,Kriti
Croatia,Hrvatska
Croatian,Croat
Crocodylia,Crocodilia
Crocodylus,Crocodilus
Cromwell,Ironsides
Cruciferae,Brassicaceae
Cuon,Cyon
Cupid,Amor
Cuquenan,Kukenaam
Cuzco,Cusco
Cybele,Dindymene
Cycadofilicales,Lyginopteridales
Cycadopsida,Cycadophyta
Cycadopsida,Cycadophytina
Cyclades,Kikladhes
Cydippida,Cydippea
Cydippida,Cydippidea
Cynewulf,Cynwulf
Cyprian,Cypriot
Cyprian,Cypriote
Cypriot,Cyprian
Cypriot,Cypriote
Czech,Czechoslovakian
Czechoslovakian,Czech
Czechoslovakian,Czechoslovak
D,d
Daba,Kola
Daba,Musgoi
Dacron,Terylene
Daedalus,Daedal
Dalian,Dairen
Dalian,Talien
Damkina,Damgalnunna
Dangla,Dangaleat
Dantean,Dantesque
Danu,Dana
Danube,Danau
Dard,Dardic
Dardanelles,Hellespont
Darmera,Peltiphyllum
Davys,Davis
December,Dec
Dekker,Decker
Delaware,DE
Delawarean,Delawarian
Delphic,Delphian
Delphic,oracular
Dendroaspis,Dendraspis
Denmark,Danmark
Detroit,Motown
Deuteromycota,Deuteromycotina
Devanagari,Nagari
Devon,Devonshire
Dhaka,Dacca
Dhu'l-Hijja,Dhu'l-Hijjah
Dias,Diaz
Dibranchiata,Dibranchia
Dicotyledones,Dicotyledonae
Dicotyledones,Magnoliopsida
Dimash,Damascus
Dinesen,Blixen
Dinoflagellata,Cilioflagellata
Dionysia,Bacchanalia
Diplopoda,Myriapoda
Dis,Orcus
Dnipropetrovsk,Yekaterinoslav
Dobrich,Tolbukhin
Dodecanese,Dhodhekanisos
Doha,Bida
Dominican,Blackfriar
Dominique,Dominick
Donetsk,Donetske
Donetsk,Stalino
Donnean,Donnian
Dostoevskian,Dostoyevskian
Dostoyevsky,Dostoevski
Dostoyevsky,Dostoevsky
Dowding,Dowdy
Dracenaceae,Dracaenaceae
Draco,Dragon
Dravidian,Dravidic
Druze,Druse
Dryopteridaceae,Athyriaceae
Dubrovnik,Ragusa
Dumuzi,Tammuz
Dunker,Dunkard
Dunker,Tunker
Dunkirk,Dunkerque
Dunkirk,Dunkerque
Durham,shorthorn
Durres,Durazzo
Dushanbe,Dusanbe
Dushanbe,Dyushambe
Dushanbe,Stalinabad
Dyaus,Dyaus-pitar
Dyirbal,Jirrbal
E,e
Earth,earth
Earth,earth
Earth,globe
Earth,world
East,Orient
Ecuadorian,Ecuadoran
Eden,Shangri-la
Eden,heaven
Eden,nirvana
Eden,paradise
Edirne,Adrianople
Edirne,Adrianopolis
Edwy,Eadwig
Eisenhower,Ike
Elam,Susiana
Elamitic,Elamite
Elamitic,Susian
Elasmobranchii,Selachii
Elodea,ditchmoss
Elodea,pondweed
Elul,Ellul
Embioptera,Embiodea
Emmenthal,Emmental
Emmenthal,Emmentaler
Emmenthal,Emmenthaler
Endecott,Endicott
Enets,Entsi
Enets,Entsy
Enets,Yenisei
Enets,Yenisei-Samoyed
Enets,Yeniseian
English,side
Enlil,En-lil
Entoprocta,Endoprocta
Ephemeroptera,Ephemerida
Episcopal,Episcopalian
Erastianism,Byzantinism
Erastianism,Caesaropapism
Ereshkigal,Eresh-kigal
Ereshkigal,Ereshkigel
Erythroxylon,Erythroxylum
Eskimo,Esquimau
Eskimo,Esquimau
Eskimo,Inuit
Esquire,Esq
Estonia,Esthonia
Estonian,Esthonian
Ethiopia,Abyssinia
Ethiopia,Yaltopya
Eucarya,Fusanus
Eurasian,Eurasiatic
Eurocentric,Europocentric
Euronithopoda,Ornithopoda
Euronithopoda,euronithopod
Europeanization,Europeanisation
Europeanize,Europeanise
Europeanize,Europeanise
Eurotiales,Aspergillales
Evenki,Ewenki
Exopterygota,Hemimetabola
Ezekiel,Ezechiel
Ezekiel,Ezechiel
F,f
Faisalabad,Lyallpur
Fallopius,Fallopio
Faroese,Faeroese
Father,Father-God
Father,Fatherhood
Father,Padre
Fatiha,Fatihah
Fatima,Fatimah
Faulkner,Falkner
Faust,Faustus
Fauve,fauvist
February,Feb
Federal,Fed
Fennic,Finnic
Fennic,Non-Ugric
Fentanyl,Sublimaze
Fenusa,genus-Fenusa
Fez,Fes
Filicales,Polypodiales
Filicopsida,Filicinae
Filipino,Philippine
Finland,Suomi
Finnish,Suomi
Finno-Ugric,Finno-Ugrian
Firenze,Florence
Florida,FL
Fomor,Fomorian
Francophile,Francophil
Freemason,Mason
Freemasonry,Masonry
Fremontodendron,Fremontia
French,Gallic
Frenchman,Frenchwoman
Frey,Freyr
Freya,Freyja
Friday,Fri
Friend,Quaker
Friesian,Holstein
Friesian,Holstein-Friesian
Frigg,Frigga
Friulian,Friuli
Fuji,Fuji-san
Fuji,Fujinoyama
Fuji,Fujiyama
Fula,Ful
Fula,Fulani
Fula,Peul
Fulani,Fellata
Fulani,Fula
Fulani,Fulah
Fulani,Fulbe
Fury,Erinyes
Fury,Eumenides
G,g
G-string,thong
G.I.,GI
Gabon,Gabun
Gaea,Gaia
Gaea,Ge
Gaelic,Erse
Gaelic,Goidelic
Galeras,Pasto
Galilean,Galilaean
Galilean,Galilaean
Gallinago,Capella
Ganesh,Ganapati
Ganesh,Ganesa
Ganesh,Ganesha
Gansu,Kansu
Gascogne,Gascony
Gasteromycetes,Gastromycetes
Gastropoda,Gasteropoda
Gaul,Gallia
Gdansk,Danzig
Geb,Keb
Gehenna,Tartarus
Gemini,Twin
Gemini,Twins
Geneva,Geneve
Geneva,Genf
Genoa,Genova
Genoese,Genovese
Genseric,Gaiseric
Gent,Gand
Gent,Ghent
Georgetown,Stabroek
Georgia,GA
Georgia,Sakartvelo
Germany,Deutschland
Germany,FRG
Gerreidae,Gerridae
Gerrididae,Gerridae
Ghanaian,Ghanese
Ghanaian,Ghanian
Gibraltar,Calpe
Ginkgopsida,Ginkgophytina
Girondist,Girondin
Giza,Gizeh
Gnetopsida,Gnetophyta
Gnetopsida,Gnetophytina
Godhead,Almighty
Godhead,Creator
Godhead,Divine
Godhead,Jehovah
Godhead,Lord
Godhead,Maker
Goethean,Goethian
Gomorrah,Gomorrha
Gorgonacea,Gorgoniacea
Goring,Goering
Gorky,Gorki
Gospel,Gospels
Gospel,evangel
Goteborg,Goeteborg
Goteborg,Gothenburg
Gotterdammerung,Ragnarok
Gracilariidae,Gracillariidae
Gramineae,Graminaceae
Gramineae,Poaceae
Greece,Ellas
Greek,Grecian
Greek,Hellene
Greek,Hellenic
Greek,Hellenic
Greenland,Gronland
Gregory,Hildebrand
Grozny,Groznyy
Grus,Crane
Guam,GU
Guangdong,Kwangtung
Guangzhou,Canton
Guangzhou,Kuangchou
Guangzhou,Kwangchow
Guarneri,Guarnerius
Guarneri,Guarnerius
Guarneri,Guarnieri
Guarneri,Guarnieri
Guinea-Bissau,Guine-Bissau
Guinevere,Guenevere
Gujarat,Gujerat
Gujarat,Gujerat
Gujarati,Gujerati
Gujarati,Gujerati
Gur,Voltaic
Guttiferae,Clusiaceae
Gwynn,Gynne
Gwynn,Gywn
Gymnospermae,Gymnospermophyta
Gypsy,Bohemian
Gypsy,Gipsy
Gypsy,Roma
Gypsy,Romani
Gypsy,Romany
Gypsy,Rommany
H,h
Habakkuk,Habacuc
Habsburg,Hapsburg
Hackelia,Lappula
Hadean,Plutonian
Hadean,Priscoan
Hadean,Tartarean
Hadrian,Adrian
Haematoxylum,Haematoxylon
Haftorah,Haftarah
Haftorah,Haphtarah
Haftorah,Haphtorah
Haggadah,Hagada
Haggadah,Haggada
Haggai,Aggeus
Haggai,Aggeus
Hagiographa,Ketubim
Hagiographa,Writings
Halab,Alep
Halab,Aleppo
Halakah,Halacha
Halakah,Halaka
Halle,Halle-an-der-Saale
Halloween,Hallowe'en
Haloragidaceae,Haloragaceae
Hameln,Hamelin
Hammurabi,Hammurapi
Hangzhou,Hangchow
Hani,Akha
Hannover,Hanover
Hanukkah,Channukah
Hanukkah,Channukkah
Hanukkah,Chanukah
Hanukkah,Chanukkah
Hanukkah,Hannukah
Hanukkah,Hanukah
Harare,Salisbury
Harkat-ul-Jihad-e-Islami,HUJI
Harkat-ul-Mujahidin,HUA
Harkat-ul-Mujahidin,HUM
Hasid,Chasid
Hasid,Chassid
Hasid,Hassid
Hasidic,Chasidic
Hasidic,Chassidic
Hasidic,Hassidic
Hasidim,Chasidim
Hasidim,Chassidim
Hasidim,Hasidism
Hasidim,Hassidim
Hasidism,Chasidism
Hasidism,Chassidism
Hasidism,Hassidism
Hausa,Haussa
Hausa,Haussa
Haute-Normandie,Upper-Normandy
Hawaii,HI
Hawaii,Hawai'i
Hawkins,Hawkyns
Hebei,Hopeh
Hebei,Hopei
Hebraic,Hebraical
Hebraic,Hebraical
Hebraic,Hebrew
Hebraic,Hebrew
Hebrews,Israelites
Hefa,Haifa
Hegira,Hejira
Heimdall,Heimdal
Heimdall,Heimdallr
Hejaz,Hedjaz
Hejaz,Hijaz
Hel,Hela
Hell,Hades
Hell,Inferno
Hell,Scheol
Hell,netherworld
Hell,perdition
Hell,pit
Hell,underworld
Hellenic,Hellenistic
Hellenic,Hellenistical
Helsinki,Helsingfors
Helxine,Soleirolia
Heming,Hemminge
Hepaticopsida,Hepaticae
Hephaestus,Hephaistos
Hera,Here
Hercules,Alcides
Hercules,Heracles
Hercules,Herakles
Hercules'-club,Hercules'-clubs
Hercules'-club,Hercules-club
Hereford,whiteface
Heritiera,Terrietia
Hero,Heron
Hesperides,Atlantides
Hezekiah,Ezekias
Higi,Kapsiki
Himalayas,Himalaya
Hindu,Hindi
Hindu,Hindoo
Hindu,Hindoo
Hindu,Hindoo
Hindu,Hindustani
Hinduism,Hindooism
Hinduism,Hindooism
Hindustani,Hindoostani
Hindustani,Hindostani
Hispanic,Latino
Hispaniola,Haiti
Hispaniola,Hayti
Hizballah,Hezbollah
Hizballah,Hizbollah
Hizballah,Hizbullah
Hmong,Miao
Hmong,Miao
Hodeida,Al-Hudaydah
Hokan,Hoka
Hokan,Hoka
Hokkaido,Ezo
Hokkaido,Yezo
Holocene,Recent
Homyel,Gomel
Homyel,Homel
Honshu,Hondo
Hosta,Funka
Hostaceae,Funkaceae
Hoth,Hoder
Hoth,Hodr
Hoth,Hodur
Hoth,Hothr
Humvee,Hum-Vee
Hungarian,Magyar
Hungarian,Magyar
Hungarian,Magyar
Hungary,Magyarorszag
Huss,Hus
Hussein,Husain
Hussein,Husain
Hussein,Husayn
Hussein,Husayn
Hussein,Saddam
Huxleyan,Huxleian
Hydnocarpus,Taraktagenos
Hydnocarpus,Taraktogenos
Hydra,Snake
Hydrocharitaceae,Hydrocharidaceae
Hypochaeris,Hypochoeris
I,i
ID,I.D.
Idaho,ID
Idun,Ithunn
Iguanidae,Iguania
Iguazu,Iguassu
Illinois,IL
Inca,Incan
Inca,Inka
Inca,Inka
Inchon,Chemulpo
Inchon,Incheon
India,Bharat
Indian,Amerind
Indian,Amerindic
Indiana,IN
Indianan,Hoosier
Indic,Indo-Aryan
Indo-European,Aryan
Indo-European,Indo-Aryan
Indo-European,Indo-Germanic
Indo-European,Indo-Hittite
Indonesian,Bahasa
Ingrian,Inger
Ingrian,Ingerman
Insecta,Hexapoda
Insessores,percher
Iowa,IA
Iowa,Ioway
Iowa,Ioway
Iran,Persia
Irani,Iranian
Irani,Persian
Iranian,Persian
Iraq,Al-Iraq
Iraq,Irak
Iraqi,Iraki
Iraqi,Iraki
Ireland,Eire
Ireland,Hibernia
Iroquoian,Iroquois
Irtish,Irtysh
Iseult,Isolde
Isfahan,Aspadana
Isfahan,Esfahan
Ishtar,Mylitta
Islam,Islamism
Islam,Mohammedanism
Islam,Muhammadanism
Islam,Muslimism
Islam,Muslimism
Islamize,Islamise
Islamize,Islamise
Ismaili,Ismailian
Israel,Sion
Israel,Yisrael
Israel,Zion
Istanbul,Constantinople
Istanbul,Stamboul
Istanbul,Stambul
Italy,Italia
Ithaca,Ithaki
Iyar,Iyyar
Izmir,Smyrna
J,j
Jabalpur,Jubbulpore
Jacobinic,Jacobinical
Jaffa,Joppa
Jaffa,Yafo
Jaffar,Jafar
Jagannath,Jagannatha
Jagannath,Jagganath
Jagannath,Juggernaut
Jain,Jainist
Jaish-i-Mohammed,JEM
Jaish-i-Mohammed,Jaish-e-Muhammad
Jakarta,Djakarta
January,Jan
Janus-faced,two-faced
Jap,Nip
Japan,Nihon
Japan,Nippon
Japanese,Nipponese
Japanese,Nipponese
Javanese,Javan
Javanese,Javan
Jeddah,Jed'dah
Jeddah,Jidda
Jeddah,Jiddah
Jerome,Hieronymus
Jesuitical,Jesuit
Jesuitical,Jesuitic
Jesuitism,Jesuitry
Jesus,Christ
Jesus,Deliverer
Jesus,Redeemer
Jesus,Savior
Jesus,Saviour
Jeth,Jyaistha
Jew,Hebrew
Jew,Israelite
Jew's-ear,Jew's-ears
Jewbush,Jew-bush
Jewish,Judaic
Jinghpo,Chingpo
Jinghpo,Jinghpaw
Johnson,LBJ
Joliot,Joliot-Curie
Jolliet,Joliet
Joshua,Josue
Jotun,Jotunn
Judah,Juda
Judaic,Judaical
Judaism,Hebraism
Jude,Judas
Jude,Thaddaeus
Judea,Judaea
Judeo-Spanish,Ladino
Juneberry,serviceberry
Juneberry,shadblow
Juneberry,shadbush
Junior,Jnr
Junior,Jr
Junoesque,statuesque
Jupiter,Jove
Jutland,Jylland
K,green
K,jet
K,k
K2,Dapsang
Kaaba,Caaba
Kabbalah,Cabala
Kabbalah,Cabbala
Kabbalah,Cabbalah
Kabbalah,Kabala
Kabbalah,Kabbala
Kabbalah,Qabbala
Kabbalah,Qabbalah
Kabbalism,Cabalism
Kachin,Kachinic
Kadai,Kam-Tai
Kakatoe,Cacatua
Kalapooia,Calapooya
Kalapooia,Calapuya
Kalapooia,Kalapuya
Kalapooian,Kalapuyan
Kananga,Luluabourg
Kanara,Canara
Kanarese,Canarese
Kanchenjunga,Kanchanjanga
Kanchenjunga,Kinchinjunga
Kandahar,Qandahar
Kandinsky,Kandinski
Kannada,Kanarese
Kansa,Kansas
Kansa,Kansas
Kansas,KS
Karakoram,Mustagh
Karelian,Carelian
Karelian,Carelian
Karen,Karenic
Karnataka,Mysore
Kartik,Karttika
Kartikeya,Karttikeya
Kashmir,Cashmere
Kassite,Cassite
Kassite,Cassite
Kathmandu,Katmandu
Kaunas,Kovna
Kaunas,Kovno
Kazak,Kazakh
Kazak,Kazakh
Kazakhstan,Kazak
Kazakhstan,Kazakh
Kazakhstan,Kazakstan
Kennedia,Kennedya
Kennedy,JFK
Kentish,Jutish
Kentucky,KY
Kerbala,Karbala
Kerbala,Kerbela
Khalkha,Kalka
Khalkha,Kalka
Khalkha,Khalka
Khalkha,Khalka
Khanty,Ostyak
Kharkov,Kharkiv
Khoikhoin,Hottentot
Khoikhoin,Khoikhoi
Kichaga,Chaga
Kichaga,Chagga
Kiliwa,Kiliwi
Kiliwa,Kiliwi
Kinshasa,Leopoldville
Kirghiz,Khirghiz
Kirghiz,Khirghiz
Kirghiz,Kirgiz
Kirghiz,Kirgiz
Kishinev,Chisinau
Kislev,Chislev
Klaipeda,Memel
Klansman,Kluxer
Knesset,Knesseth
Knossos,Cnossos
Knossos,Cnossus
Kolkata,Calcutta
Komi,Zyrian
Konoe,Konoye
Koran,Book
Koran,Quran
Koran,al-Qur'an
Korea,Dae-Han-Min-Gook
Korea,Han-Gook
Kosciusko,Kosciuszko
Kota,Kotar
Kota,Kotar
Krakatau,Krakatao
Krakatau,Krakatoa
Kraut,Boche
Kraut,Hun
Kraut,Jerry
Kraut,Krauthead
Kuki,Chin
Kuki,Kuki-Chin
Kunlun,Kuenlun
Kuomintang,Guomindang
Kuwait,Koweit
Kuwait,Koweit
Kwanzaa,Kwanza
Kyd,Kid
Kyrgyzstan,Kirghiz
Kyrgyzstan,Kirghizia
Kyrgyzstan,Kirghizstan
Kyrgyzstan,Kirgiz
